Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Label
10.152.152.11-74.125.136.132-41995-443-6,10.152.152.11,41995,74.125.136.132,443,6,24/07/15 16:09,101242010,18,18,1490,3970,485,0,82.7777778,126.189193,1213,0,220.555556,355.675864,53.9301817,0.35558362,2892628.86,10611580.7,45120787,17,101241749,5955397,14829528.8,45121069,638,101241815,5955400.88,14829389.5,45121048,598,1,0,0,0,360,360,0.17779181,0.17779181,0,1213,149.864865,268.559032,72123.9535,0,0,0,16,36,0,0,0,1,154.027778,82.7777778,220.555556,0,0,0,0,5,3867,0,41,0,110,1892,1248,9,20,0,0,0,0,1.44E+15,20716782.6,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57157-443-6,10.152.152.11,57157,216.58.220.99,443,6,24/07/15 16:09,104050917,27,32,5119,1751,693,0,189.592593,239.075022,207,0,54.71875,80.2919007,66.0253672,0.56703008,1793981.33,7175783.69,45045224,14,104050582,4001945.46,10402819.5,45045533,320,104050660,3356472.9,9616919.22,45045559,217,1,0,0,0,540,640,0.25948834,0.30754174,0,693,126.05,196.546404,38630.489,0,0,0,31,59,0,0,0,1,128.186441,189.592593,54.71875,0,0,0,0,7,1306,0,86,0,29,2640,2598,18,20,0,0,0,0,1.44E+15,25545709.8,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.149-45258-443-6,10.152.152.11,45258,173.194.65.149,443,6,24/07/15 16:10,90586766,6,7,383,324,245,0,63.8333333,94.9724521,255,0,46.2857143,95.5592561,7.80467204,0.14350882,7548897.17,17511414.4,45055570,165,90586197,18117239.4,24575651,45056003,726,90586276,15097712.7,23206875,45057901,401,1,0,0,0,120,140,0.06623484,0.07727398,0,255,68,101.762166,10355.5385,0,0,0,5,13,0,0,0,1,73.2307692,63.8333333,46.2857143,0,0,0,0,5,1495,0,29,0,24,2257,1204,2,20,0,0,0,0,1.44E+15,30456672.3,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.102-47874-443-6,10.152.152.11,47874,173.194.65.102,443,6,24/07/15 16:10,90104287,3,3,0,0,0,0,0,0,0,0,0,0,0,0.06658951,18020857.4,24675569.7,45055618,265,90104022,45052011,5631.39841,45055993,45048029,90103819,45051909.5,5619.37759,45055883,45047936,0,0,0,0,60,60,0.03329475,0.03329475,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2075,1114,0,20,0,0,0,0,1.44E+15,36784315.8,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.101-47698-443-6,10.152.152.11,47698,173.194.65.101,443,6,24/07/15 16:10,90112415,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0665835,18022483,24677763.1,45055623,348,90112003,45056001.5,57.2756493,45056042,45055961,90111996,45055998,38.1837662,45056025,45055971,0,0,0,0,60,60,0.03329175,0.03329175,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2640,1959,0,20,0,0,0,0,1.44E+15,36787616,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57468-443-6,10.152.152.11,57468,173.194.65.138,443,6,24/07/15 16:09,104202473,40,50,13968,23958,1460,0,349.2,561.693009,1460,0,479.16,588.194934,363.964491,0.86370311,1170814.3,6805568.78,45055689,9,104202170,2671850.51,10156041,45056027,42,104202026,2126571.96,9101590.76,45055992,9,1,0,0,0,800,1000,0.38386805,0.47983506,0,1460,420.164835,573.923848,329388.584,0,0,0,33,90,0,0,0,1,424.833333,349.2,479.16,0,0,0,0,24,16464,0,155,0,266,2640,2640,20,20,0,0,0,0,1.44E+15,14268148.1,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57457-443-6,10.152.152.11,57457,173.194.65.138,443,6,24/07/15 16:10,90176018,3,3,0,0,0,0,0,0,0,0,0,0,0,0.06653654,18035203.6,24695156.5,45119089,353,90175602,45087801,44936.6359,45119576,45056026,90175531,45087765.5,44797.3359,45119442,45056089,0,0,0,0,60,60,0.03326827,0.03326827,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1181,2142,0,20,0,0,0,0,1.44E+15,36813552.9,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.102-47874-443-6,10.152.152.11,47874,173.194.65.102,443,6,24/07/15 16:12,59904266,2,4,0,154,0,0,0,0,154,0,38.5,77,2.5707685,0.10015981,11980853.2,19575353.7,45055748,77,45056024,45056024,0,45056024,45056024,59903990,19967996.7,22960168,45055961,77,0,0,0,0,40,80,0.0333866,0.06677321,0,154,22,58.2065288,3388,1,0,0,1,6,0,0,0,2,25.6666667,0,38.5,0,0,0,0,0,0,0,0,0,25,2075,1114,0,20,0,0,0,0,1.44E+15,31195282.7,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.101-47698-443-6,10.152.152.11,47698,173.194.65.101,443,6,24/07/15 16:12,59650091,3,3,0,154,0,0,0,0,154,0,51.3333333,88.9119415,2.5817228,0.1005866,11930018.2,19566058.5,45055596,393,59650091,29825045.5,21539806.9,45055989,14594102,59648604,29824302,21540950.3,45056054,14592550,0,0,0,0,60,60,0.0502933,0.0502933,0,154,22,58.2065288,3388,1,0,0,1,6,0,0,0,1,25.6666667,0,51.3333333,0,0,0,0,0,0,0,0,0,25,2640,1959,0,20,0,0,0,0,1.44E+15,31093222,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57457-443-6,10.152.152.11,57457,173.194.65.138,443,6,24/07/15 16:12,59690811,2,4,0,154,0,0,0,0,154,0,38.5,77,2.5799616,0.10051798,11938162.2,19567640.3,45055573,81,45056011,45056011,0,45056011,45056011,59690373,19896791,22984292.6,45055945,81,0,0,0,0,40,80,0.03350599,0.06701199,0,154,22,58.2065288,3388,1,0,0,1,6,0,0,0,2,25.6666667,0,38.5,0,0,0,0,0,0,0,0,0,25,1181,2142,0,20,0,0,0,0,1.44E+15,31109887.9,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/15 16:11,119951935,304,311,169583,26564,1460,0,557.838816,607.111581,996,0,85.414791,179.779484,1635.2133,5.1270536,195361.458,740408.011,7159955,3,119951799,395880.525,1019675.26,7160182,22,119951704,386940.981,1006941.76,7160274,7,0,0,0,0,6080,6220,2.53434845,2.59270515,0,1460,320.790584,505.756415,255789.551,0,0,0,242,615,0,0,0,1,321.312195,557.838816,85.414791,0,0,0,0,13,4228,0,275,0,43,21142,8323,215,20,0,0,0,0,1.44E+15,35633524.4,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.120-49132-443-6,10.152.152.11,49132,74.125.136.120,443,6,24/07/15 16:12,104786818,4,4,0,154,0,0,0,0,154,0,38.5,77,1.46965051,0.07634548,14969545.4,21239634.2,45055825,251,104786818,34928939.3,17540642.5,45056076,14674750,104785618,34928539.3,17541502.5,45056200,14673357,0,0,0,0,80,80,0.03817274,0.03817274,0,154,17.1111111,51.3333333,2635.11111,1,0,0,1,8,0,0,0,1,19.25,0,38.5,0,0,0,0,0,0,0,0,0,19,2640,1918,0,20,0,0,0,0,1.44E+15,41575415.6,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/15 16:11,111585868,247,235,13451,124332,1460,0,54.4574899,118.634564,1460,0,529.07234,583.636499,1234.77106,4.3195434,231987.252,1205828.41,13338817,6,111549551,453453.459,1658215.31,13339032,6,111585798,476862.385,1700700.72,13339242,20,0,0,0,0,4940,4700,2.21354195,2.10600145,0,1460,288.287785,481.337829,231686.106,0,0,0,205,482,0,0,0,0,288.885892,54.4574899,529.07234,0,0,0,0,20,4245,0,27,0,257,9520,9520,93,20,0,0,0,0,1.44E+15,35660221.2,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/15 16:12,119997944,3494,3180,187488,492160,175,0,53.6599886,50.5856117,1184,0,154.767296,196.96476,5663.83037,55.6176196,17982.6081,18423.2693,125670,18,119995436,34353.1165,26071.097,141392,104,119937453,37728.0444,23920.1317,133509,176,0,0,0,0,69880,63600,29.1171655,26.500454,0,1184,101.819925,149.565896,22369.9574,0,0,0,4160,6674,0,0,0,0,101.835181,53.6599886,154.767296,0,0,0,0,4160,5666,0,28,0,73,5292,5292,2381,20,0,0,0,0,1.44E+15,34537394,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.132-41995-443-6,10.152.152.11,41995,74.125.136.132,443,6,24/07/15 16:12,104732111,3,5,0,154,0,0,0,0,154,0,30.8,68.8708937,1.47041818,0.07638536,14961730.1,21239940.6,45056115,68,90112545,45056272.5,376.887914,45056539,45056006,104731761,26182940.3,22595513.4,45056502,68,0,0,0,0,60,100,0.02864451,0.04774085,0,154,17.1111111,51.3333333,2635.11111,1,0,0,1,8,0,0,0,1,19.25,0,30.8,0,0,0,0,0,0,0,0,0,19,2640,1248,0,20,0,0,0,0,1.44E+15,41560022.6,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.149-45258-443-6,10.152.152.11,45258,173.194.65.149,443,6,24/07/15 16:12,104786006,4,5,0,154,0,0,0,0,154,0,30.8,68.8708937,1.46966189,0.08588933,13098250.8,20363805.9,45055732,30,104785976,34928658.7,17541014.3,45056085,14674040,104785454,26196363.5,22586095.8,45056350,124,0,0,0,0,80,100,0.03817304,0.0477163,0,154,15.4,48.699076,2371.6,1,0,0,1,9,0,0,0,1,17.1111111,0,30.8,0,0,0,0,0,0,0,0,0,17,2440,1204,0,20,0,0,0,0,1.44E+15,39566697.7,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.105-34481-443-6,10.152.152.11,34481,173.194.33.105,443,6,24/07/15 16:12,90958081,9,9,3828,340,1460,0,425.333333,618.182416,271,0,37.7777778,90.386362,45.8233062,0.19789336,5350475.35,14950897.6,45120268,19,90957550,11369693.8,20802072.9,45120563,154,90957683,11369710.4,20801998.4,45120799,19,0,0,0,0,180,180,0.09894668,0.09894668,0,1460,296.210526,538.934193,290450.064,0,0,0,6,18,0,0,0,1,312.666667,425.333333,37.7777778,0,0,0,0,7,5110,0,212,0,18,2640,2970,4,20,0,0,0,0,1.44E+15,26190465.9,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.138-57468-443-6,10.152.152.11,57468,173.194.65.138,443,6,24/07/15 16:12,104887796,3,5,0,154,0,0,0,0,154,0,30.8,68.8708937,1.46823564,0.07627198,14983970.9,21239420.2,45055613,94,90111963,45055981.5,88.3883476,45056044,45055919,104887351,26221837.8,22568804.3,45056052,94,0,0,0,0,60,100,0.02860199,0.04766999,0,154,17.1111111,51.3333333,2635.11111,1,0,0,1,8,0,0,0,1,19.25,0,30.8,0,0,0,0,0,0,0,0,0,19,2640,2640,0,20,0,0,0,0,1.44E+15,41604606.5,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.33.118-41313-443-6,10.152.152.11,41313,173.194.33.118,443,6,24/07/15 16:12,75987458,10,10,2879,1060,1460,0,287.9,572.831069,583,0,106,197.757427,51.8375019,0.26320133,3999339.89,12071082.2,45055553,14,75987143,8443015.89,16901351.3,45055996,40,75987015,8443001.67,16901193.6,45055912,21,0,0,0,0,200,200,0.13160066,0.13160066,0,1460,187.571429,418.782231,175378.557,0,0,0,7,20,0,0,0,1,196.95,287.9,106,0,0,0,0,8,3965,0,143,0,53,14626,5386,4,20,0,0,0,0,1.44E+15,19595021.4,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/15 16:11,118129838,19,18,2657,4649,758,0,139.842105,210.784056,1460,0,258.277778,482.884447,61.8472024,0.31321469,3281384.39,8568703.68,29708801,19,118091906,6560661.44,11337740.8,29708890,90,118091929,6946584.06,11562845.5,29708902,166,1,0,0,0,380,360,0.16083997,0.15237471,0,1460,194.5,364.125146,132587.122,0,0,0,17,37,0,0,0,0,199.756757,139.842105,258.277778,0,0,0,0,7,3792,0,71,0,125,2640,3346,11,20,0,0,0,0,1.44E+15,23025020,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.188-50953-5228-6,10.152.152.11,50953,74.125.136.188,5228,6,24/07/15 16:12,90112420,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0665835,18022484,24677783.1,45055669,320,90112024,45056012,32.5269119,45056035,45055989,90112100,45056050,57.9827561,45056091,45056009,0,0,0,0,60,60,0.03329175,0.03329175,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2373,1315,0,20,0,0,0,0,1.44E+15,36787604.6,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57157-443-6,10.152.152.11,57157,216.58.220.99,443,6,24/07/15 16:12,90112353,3,3,0,0,0,0,0,0,0,0,0,0,0,0.06658355,18022470.6,24677857.5,45055719,278,90112014,45056007,14.1421356,45056017,45055997,90112075,45056037.5,0.70710678,45056038,45056037,0,0,0,0,60,60,0.03329177,0.03329177,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2640,2598,0,20,0,0,0,0,1.44E+15,36787702.5,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57157-443-6,10.152.152.11,57157,216.58.220.99,443,6,24/07/15 16:14,14647662,1,3,0,154,0,0,0,0,154,0,51.3333333,88.9119415,10.5136233,0.27308112,4882554,8456417.64,14647184,26,0,0,0,0,0,14647210,7323605,10357104.7,14647184,26,0,0,0,0,20,60,0.06827028,0.20481084,0,154,30.8,68.8708937,4743.2,1,0,0,1,4,0,0,0,3,38.5,0,51.3333333,0,0,0,0,0,0,0,0,0,38,2640,2598,0,20,0,0,0,0,1.44E+15,0,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/15 16:13,113515977,308,313,166917,27165,1460,0,541.938312,605.967834,890,0,86.7891374,178.584571,1709.7329,5.47059556,183090.285,718907.732,6719623,7,113515220,369756.417,991345.086,6720030,31,113515623,363832.125,981565.065,6719930,7,0,0,0,0,6160,6260,2.71327445,2.75732111,0,1460,314.376206,501.453796,251455.91,0,0,0,245,621,0,0,0,1,314.882448,541.938312,86.7891374,0,0,0,0,11,4967,0,268,0,43,21142,8323,212,20,0,0,0,0,1.44E+15,34613076.2,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/15 16:13,114730121,275,265,13058,136034,485,0,47.4836364,71.4047954,1460,0,513.335849,584.087248,1299.50181,4.70669773,212857.367,981676.924,9447987,6,114690731,418579.31,1347740.13,9447987,10,114730099,434583.708,1374316.58,9458243,32,1,0,0,0,5500,5300,2.3969294,2.30976833,0,1460,276.027726,472.878327,223613.912,0,0,0,232,540,0,0,0,0,276.538889,47.4836364,513.335849,0,0,0,0,20,4246,0,24,0,251,21627,9520,109,20,0,0,0,0,1.44E+15,35311890.7,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
